mpg,cylinders,displacement,weight,acceleration,model_year
-0.706438701,1.515896648,1.096515805,0.641001097,-1.301635845,-1.627426292
-1.090750624,1.515896648,1.510054629,0.865427709,-1.484357017,-1.627426292
-0.706438701,1.515896648,1.202304807,0.560255014,-1.667078189,-1.627426292
-0.962646649,1.515896648,1.06766426,0.556692687,-1.301635845,-1.627426292
-0.834542675,-0.847773737,1.048429896,0.575691765,-1.849799361,-1.627426292
-1.090750624,1.515896648,2.269812002,1.634890382,-2.032520532,-1.627426292
-1.218854598,1.515896648,2.51024155,-0.197926956,-2.397962876,-1.627426292
-1.218854598,1.515896648,2.375601003,1.600454553,-2.580684048,-1.627426292
-1.218854598,1.515896648,2.519858732,1.734635543,-2.032520532,-1.627426292
-1.090750624,1.515896648,1.894741906,1.051856166,-2.580684048,-1.627426292
-1.090750624,1.515896648,1.827421633,0.711060198,-2.032520532,-1.627426292
-1.218854598,1.515896648,1.413882809,0.765682548,-2.76340522,-1.627426292
-1.090750624,-0.847773737,1.990913726,0.946173792,-2.215241704,-1.627426292
-1.218854598,1.515896648,2.519858732,0.144650175,-2.032520532,-1.627426292
0.062185145,-0.847773737,-0.76921749,-0.703183696,-0.205308814,-1.627426292
-0.194022803,0.334061455,0.048242974,-0.155772751,-0.022587642,-1.627426292
-0.706438701,0.334061455,0.057860156,-0.225831852,-0.022587642,-1.627426292
-0.322126778,0.334061455,0.067477338,-0.447883581,0.160133529,-1.627426292
0.446497068,-0.847773737,-0.923092401,-0.990544756,-0.388029986,-1.627426292
0.318393094,-0.847773737,-0.923092401,-1.340840262,1.804624076,-1.627426292
0.19028912,-0.847773737,-0.798069036,-0.346950977,0.708297045,-1.627426292
0.062185145,-0.847773737,-0.826920582,-0.634312037,-0.388029986,-1.627426292
0.19028912,-0.847773737,-0.855772128,-0.699621368,0.708297045,-1.627426292
0.318393094,-0.847773737,-0.692280035,-0.867050746,-0.022587642,-1.627426292
-0.322126778,0.334061455,0.057860156,-0.375449594,-0.205308814,-1.627426292
-1.731270495,1.515896648,1.606226448,1.960249599,-0.570751158,-1.627426292
-1.731270495,1.515896648,1.096515805,1.676450866,-0.205308814,-1.627426292
-1.603166521,1.515896648,1.202304807,1.68357552,-0.75347233,-1.627426292
-1.85937447,1.515896648,1.06766426,2.099180359,1.073739389,-1.627426292
0.446497068,-0.847773737,-0.923092401,-0.990544756,-0.388029986,-1.356642152
0.574601043,-0.847773737,-0.509553578,-0.831427474,-0.022587642,-1.356642152
0.19028912,-0.847773737,-0.76921749,-0.874175401,-0.570751158,-1.356642152
0.19028912,-0.847773737,-0.91347522,-1.090289917,1.25646056,-1.356642152
-0.578334726,0.334061455,0.37522716,-0.392073788,-0.936193501,-1.356642152
-0.962646649,0.334061455,0.307906887,0.563817341,-0.022587642,-1.356642152
-0.834542675,0.334061455,0.548336435,0.433198677,-0.022587642,-1.356642152
-0.578334726,0.334061455,0.548336435,0.401137733,-0.022587642,-1.356642152
-0.706438701,0.334061455,0.37522716,0.384513539,-0.022587642,-1.356642152
-1.218854598,1.515896648,1.510054629,1.478147986,-1.301635845,-1.356642152
-1.218854598,1.515896648,1.990913726,1.780945797,-1.484357017,-1.356642152
-1.218854598,1.515896648,1.519671811,1.412838654,-0.75347233,-1.356642152
-1.218854598,1.515896648,1.202304807,1.343966995,-0.936193501,-1.356642152
-1.475062547,1.515896648,1.827421633,2.363980013,-1.484357017,-1.356642152
-1.346958572,1.515896648,1.990913726,2.115804552,-1.301635845,-1.356642152
-1.346958572,1.515896648,1.990913726,2.583656857,-1.301635845,-1.356642152
-0.706438701,0.334061455,0.62527389,-0.002592682,-0.75347233,-1.356642152
-0.194022803,-0.847773737,-0.509553578,-0.660435769,1.25646056,-1.356642152
-0.578334726,0.334061455,0.548336435,0.377388885,-0.205308814,-1.356642152
-0.706438701,0.334061455,0.548336435,0.207584622,-0.388029986,-1.356642152
-0.065918829,-0.847773737,-0.682662853,-0.88367494,-0.570751158,-1.356642152
0.574601043,-0.847773737,-0.740365945,-0.998856852,-0.570751158,-1.356642152
0.830808991,-0.847773737,-1.096201676,-1.05704153,1.439181732,-1.356642152
0.830808991,-0.847773737,-1.009647039,-1.067728511,-0.388029986,-1.356642152
0.958912966,-0.847773737,-1.173139132,-1.414461691,1.25646056,-1.356642152
1.471328863,-0.847773737,-1.16352195,-1.604452474,0.891018217,-1.356642152
0.446497068,-0.847773737,-0.923092401,-1.342027705,1.25646056,-1.356642152
0.318393094,-0.847773737,-0.980795493,-1.198347175,1.804624076,-1.356642152
